               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035734,            0.047723,           0.0027872,             0.77826,             0.62162,             0.68386,             0.39841,            0.046015,            0.051452,           0.0040238,             0.00769,             0.00769,             0.00769
                  37,            0.035611,            0.047553,           0.0028886,             0.75859,             0.63142,             0.67184,             0.39432,            0.047161,            0.052948,           0.0044476,            0.007624,            0.007624,            0.007624
                  38,            0.035795,            0.046688,           0.0028694,              0.7253,              0.6519,             0.67805,             0.39758,            0.046171,            0.052779,           0.0043231,            0.007558,            0.007558,            0.007558
                  39,            0.035473,            0.046605,           0.0026777,             0.76019,             0.61675,             0.68369,             0.39912,            0.045299,            0.052327,           0.0042629,            0.007492,            0.007492,            0.007492
                  40,            0.035068,            0.045838,           0.0028849,             0.78252,             0.59327,             0.66172,             0.38615,             0.04618,            0.054479,           0.0043631,            0.007426,            0.007426,            0.007426
                  41,            0.035067,            0.046965,           0.0027018,             0.72611,             0.63344,             0.67392,             0.39979,            0.046044,            0.053514,           0.0042687,             0.00736,             0.00736,             0.00736
                  42,            0.034897,             0.04559,           0.0028864,             0.71485,             0.64752,             0.67501,             0.39056,            0.046714,            0.054159,           0.0038579,            0.007294,            0.007294,            0.007294
                  43,             0.03449,            0.045601,           0.0027336,             0.75571,             0.64188,             0.68635,             0.40128,            0.046015,            0.052328,           0.0041038,            0.007228,            0.007228,            0.007228
                  44,            0.034324,            0.044813,           0.0028595,             0.76162,             0.62365,             0.67722,             0.40409,            0.046556,            0.052692,           0.0046279,            0.007162,            0.007162,            0.007162
                  45,            0.034465,            0.044923,           0.0027496,             0.74805,             0.65411,             0.69019,             0.40449,             0.04612,            0.052049,           0.0045039,            0.007096,            0.007096,            0.007096
                  46,            0.034275,            0.044857,           0.0025966,             0.73693,             0.61395,             0.67077,             0.38771,            0.046957,            0.054817,           0.0046248,             0.00703,             0.00703,             0.00703
                  47,            0.033723,            0.044165,           0.0025876,             0.75844,             0.64219,             0.68557,             0.39557,            0.046305,            0.053198,           0.0040506,            0.006964,            0.006964,            0.006964
                  48,            0.034008,            0.044003,           0.0026636,             0.76343,              0.6348,              0.6874,             0.39615,            0.046793,            0.052781,           0.0044253,            0.006898,            0.006898,            0.006898
                  49,            0.034157,            0.045807,           0.0025978,             0.79295,             0.61338,             0.68037,             0.39853,             0.04697,            0.052878,           0.0044851,            0.006832,            0.006832,            0.006832
                  50,            0.033455,            0.044503,           0.0025878,             0.77706,             0.60479,             0.66644,             0.39299,            0.046673,            0.055065,           0.0046418,            0.006766,            0.006766,            0.006766
                  51,            0.033256,            0.043703,           0.0025548,             0.81139,             0.61117,             0.67396,             0.39161,            0.046549,            0.054945,           0.0045039,              0.0067,              0.0067,              0.0067
                  52,            0.033353,            0.043523,           0.0025208,             0.73286,             0.62552,             0.66365,             0.38685,            0.046344,            0.054909,           0.0044827,            0.006634,            0.006634,            0.006634
                  53,            0.033179,            0.042831,           0.0026341,             0.78082,             0.57969,             0.66551,             0.38617,            0.045829,            0.053394,           0.0045439,            0.006568,            0.006568,            0.006568
                  54,            0.032961,            0.043258,           0.0025896,             0.72664,              0.6104,             0.64319,             0.37871,            0.046546,            0.055363,           0.0044011,            0.006502,            0.006502,            0.006502
                  55,            0.032906,            0.043338,           0.0024902,             0.67963,             0.67419,             0.67076,             0.39853,            0.045491,            0.054019,           0.0039723,            0.006436,            0.006436,            0.006436
                  56,            0.032428,            0.042049,           0.0025714,             0.76362,             0.62897,             0.66848,             0.39562,            0.046664,            0.054671,           0.0044298,             0.00637,             0.00637,             0.00637
                  57,            0.032272,            0.042785,           0.0024471,             0.80996,               0.612,             0.68004,             0.39877,            0.045822,             0.05429,           0.0047307,            0.006304,            0.006304,            0.006304
                  58,            0.031915,            0.041423,           0.0024087,             0.78667,              0.6222,             0.67465,             0.39931,            0.046083,            0.054807,           0.0045145,            0.006238,            0.006238,            0.006238
